CL1 Comdty,,,,,,NG1 Comdty,,,,,,GC1 Comdty,,,,,,SI1 Comdty,,,,,,HG1 Comdty,,,,,
Date,Open Price  (R1),Low Price  (R2),Last Price  (L1),CL1 Comdty - High Price,CL1 Comdty - Volume,Date,Open Price  (L1),Low Price  (R1),Last Price  (R2),NG1 Comdty - High Price,NG1 Comdty - Volume,Date,Open Price  (L1),Low Price  (R1),Last Price  (R2),GC1 Comdty - High Price,GC1 Comdty - Volume,Date,Open Price  (L1),Low Price  (R1),Last Price  (R2),SI1 Comdty - High Price,SI1 Comdty - Volume,Date,Open Price  (R2),Low Price  (R1),Last Price  (L1),HG1 Comdty - High Price,HG1 Comdty - Volume
9/23/2025,62.33,61.85,63.69,63.89,248092,9/23/2025,2.806,2.772,2.868,2.87,67588,9/23/2025,3750.6,3742.5,3760.1,3792.8,23175,9/23/2025,43.9,43.7,44.192,44.3,400,9/23/2025,457,457,458.2,458.7,714
9/22/2025,62.74,61.98,62.64,63.18,18654,9/22/2025,2.909,2.804,2.806,2.945,163184,9/22/2025,3690,3688.2,3744.8,3753,17032,9/22/2025,43.67,43.3,43.799,43.92,179,9/22/2025,457.25,457.05,457.3,458.75,830
9/19/2025,63.59,62.6,62.68,63.65,87165,9/19/2025,2.939,2.857,2.888,2.949,142217,9/19/2025,3648.3,3635,3676,3690,13195,9/19/2025,41.915,41.815,42.536,42.865,625,9/19/2025,454.4,454.4,456.9,457.25,653
9/18/2025,63.99,63.33,63.57,64.55,82321,9/18/2025,3.076,2.925,2.939,3.107,180476,9/18/2025,3663,3631.8,3648.7,3677.9,12788,9/18/2025,41.7,41.495,41.707,41.71,156,9/18/2025,455.95,452.15,454.1,456.25,837
9/17/2025,64.59,63.69,64.05,64.67,165427,9/17/2025,3.117,3.068,3.1,3.168,132465,9/17/2025,3697.8,3651,3688,3714,15047,9/17/2025,41.89,41.89,41.722,41.935,311,9/17/2025,457,454.75,457.1,458.8,950
9/16/2025,63.31,62.89,64.52,64.76,234250,9/16/2025,3.045,2.869,3.103,3.138,166585,9/16/2025,3690.6,3682.6,3695.5,3710.2,13739,9/16/2025,42.44,42.435,42.471,42.45,894,9/16/2025,463.5,463,463.3,463.6,651
9/15/2025,62.97,62.52,63.3,63.67,205560,9/15/2025,2.951,2.916,3.043,3.05,152709,9/15/2025,3651.1,3634,3689.5,3695,11679,9/15/2025,42.21,42.21,42.517,42.58,48,9/15/2025,460,459.3,465.55,466.35,491
9/12/2025,62.27,61.69,62.69,63.98,313265,9/12/2025,2.918,2.897,2.941,3,160049,9/12/2025,3643.9,3639,3657.3,3666.4,10076,9/12/2025,41.6,41.6,42.387,42.365,18,9/12/2025,458.9,458.15,458.85,459.35,883
9/11/2025,63.8,62.21,62.37,63.8,222661,9/11/2025,3.029,2.911,2.934,3.062,199072,9/11/2025,3652.5,3623,3645,3658.6,12460,9/11/2025,41.355,41.35,41.697,41.74,538,9/11/2025,455,453.5,459.05,461,1044
9/10/2025,62.74,62.72,63.67,64.08,260684,9/10/2025,3.107,3.008,3.029,3.117,171976,9/10/2025,3632,3622.5,3653.1,3668.6,10241,9/10/2025,,,41.133,,350,9/10/2025,450.35,450.25,455,455.4,1052
9/9/2025,62.43,62.37,62.63,63.67,268529,9/9/2025,3.098,3.046,3.117,3.165,181519,9/9/2025,3648,3634.8,3653.3,3685.8,14819,9/9/2025,41.57,41.16,40.878,41.57,359,9/9/2025,451.15,448.4,450.1,451.2,1354
9/8/2025,62,61.85,62.26,63.34,237288,9/8/2025,3.087,3.056,3.09,3.198,200532,9/8/2025,3607,3593.7,3648.5,3656.3,17770,9/8/2025,41.15,41.15,41.426,41.78,531,9/8/2025,448.3,448.3,449.05,449.9,888
9/5/2025,63.33,61.45,61.87,63.49,294540,9/5/2025,3.078,3.021,3.048,3.13,130911,9/5/2025,3572.4,3565.9,3624,3626.2,17855,9/5/2025,40.96,40.87,41.074,41.535,835,9/5/2025,452.15,447.2,448.25,452.15,859
9/4/2025,63.82,62.72,63.48,63.84,251689,9/4/2025,3.075,3.022,3.074,3.13,165913,9/4/2025,3590.3,3544.4,3577.3,3592.2,16517,9/4/2025,41.03,40.8,40.911,41.055,249,9/4/2025,449.8,448.75,448.8,450.75,881
9/3/2025,65.62,63.72,63.97,65.72,298737,9/3/2025,2.992,2.964,3.064,3.131,187561,9/3/2025,3569.9,3563.4,3606.1,3610.8,14527,9/3/2025,41.15,41.015,41.542,41.715,409,9/3/2025,457.25,453.35,455.85,459,1166
9/2/2025,63.95,63.66,65.59,66.03,320218,9/2/2025,2.972,2.869,3.009,3.065,226571,9/2/2025,3488.9,3477.2,3562.9,3573.2,22513,9/2/2025,40.185,40.185,41.071,41.34,820,9/2/2025,452.05,449.4,456.95,457,1397
8/29/2025,64.26,63.88,64.01,64.55,183255,8/29/2025,2.985,2.921,2.997,3.023,142632,8/29/2025,3448.6,3434.8,3487.2,3489.4,13170,8/29/2025,39.155,38.905,40.2,40.305,1551,8/29/2025,446.65,446.65,451.85,452.2,2545
8/28/2025,63.87,63.35,64.6,64.7,208931,8/28/2025,2.874,2.85,2.944,2.999,186265,8/28/2025,3424.7,3414.5,3445.8,3450.3,10537,8/28/2025,38.69,38.68,39.19,39.335,5603,8/28/2025,442.45,440.75,446.35,447.8,7819
8/27/2025,63.31,62.95,64.15,64.23,193476,8/27/2025,2.738,2.676,2.867,2.906,3341,8/27/2025,3397,3382,3404.6,3397,572,8/27/2025,38.71,38.17,38.713,38.755,38378,8/27/2025,446.85,437.45,442,447.55,20198
8/26/2025,64.75,63.13,63.25,64.76,199101,8/26/2025,2.711,2.654,2.717,2.742,70243,8/26/2025,3378.9,3371.1,3388.6,3396.5,905,8/26/2025,38.56,38.33,38.606,38.86,59354,8/26/2025,446.35,443.1,445.95,448.8,21509
8/25/2025,63.88,63.53,64.8,65.1,185270,8/25/2025,2.639,2.622,2.696,2.717,60316,8/25/2025,3366,3366,3373.8,3378,1044,8/25/2025,38.955,38.52,38.703,38.965,42151,8/25/2025,446,445.4,447.75,449.9,19388
8/22/2025,63.5,63.31,63.66,63.93,223169,8/22/2025,2.813,2.689,2.698,2.819,79364,8/22/2025,3349.4,3349.4,3374.4,3377.7,1240,8/22/2025,38.095,37.675,39.054,39.09,72111,8/22/2025,445.2,442.75,445.9,448.05,28125
