Date,TY1 COMB Comdty Last Price  (R1),US1 COMB Comdty Last Price (L1)
9/23/2025,112-29,116-21
9/22/2025,112-22+,116-08
9/19/2025,112-26+,116-25
9/18/2025,112-31,117-09
9/17/2025,113-03,117-29
9/16/2025,113-16+,118-13
9/15/2025,113-13,118-09
9/12/2025,113-08,117-27
9/11/2025,113-19,118-13
9/10/2025,113-16+,118-04
9/9/2025,113-10,117-18
9/8/2025,113-16,117-29
9/5/2025,113-11+,116-29
9/4/2025,112-26+,115-11
9/3/2025,112-19,115
9/2/2025,112-04+,113-28
9/1/2025,,
8/29/2025,112-14+,114-21
8/28/2025,112-17,115-06
8/27/2025,112-13,114-20
8/26/2025,112-06+,114-19
8/25/2025,111-31,114-23
8/22/2025,112-04+,114-27
8/21/2025,111-17+,114-02
8/20/2025,111-27+,114-13
8/19/2025,111-24+,114-11
8/18/2025,111-16+,113-25
8/15/2025,111-19,114
8/14/2025,111-25+,114-21
8/13/2025,112-05+,115-16
8/12/2025,111-26,114-21
8/11/2025,111-28+,115-05
8/8/2025,111-26+,115
8/7/2025,112-03,115-17
8/6/2025,112-07+,115-18
8/5/2025,112-09+,116-04
8/4/2025,112-12,115-29
8/1/2025,112-06+,115-22
7/31/2025,111-02,114-06
7/30/2025,111,113-28
7/29/2025,111-11+,114-17
7/28/2025,110-24+,113-05
7/25/2025,110-31+,113-19
7/24/2025,110-26+,113-09
7/23/2025,111-00+,113-11
7/22/2025,111-13,113-31
7/21/2025,111-06,113-14
7/18/2025,110-25,112-14
7/17/2025,110-16+,112-04
7/16/2025,110-20,112-05
7/15/2025,110-09,111-31
7/14/2025,110-24+,112-24
7/11/2025,110-23,112-29
7/10/2025,111-07,114-08
7/9/2025,111-08+,114-02
7/8/2025,110-25,113-01
7/7/2025,110-29+,113-07
7/4/2025,,
7/3/2025,111-07,114-08
7/2/2025,111-20,114-22
7/1/2025,111-27+,115-12
6/30/2025,112-04,115-15
6/27/2025,111-26,114-15
6/26/2025,112-00+,114-30
6/25/2025,111-22,114-18
6/24/2025,111-21,114-23
6/23/2025,111-14+,114-11
6/20/2025,110-31+,113-25
6/18/2025,111-02,114-18
6/17/2025,110-27,114-03
6/16/2025,110-16,113-04
6/13/2025,110-20,113-24
6/12/2025,111-01+,114-25
6/11/2025,110-22,113-25
6/10/2025,110-07,113-03
6/9/2025,110-05+,112-28
6/6/2025,109-30,112-21
6/5/2025,110-25,113-31
6/4/2025,111-03,114-02
6/3/2025,110-14+,112-20
6/2/2025,110-15,112-12
5/30/2025,110-23,113-06
5/29/2025,110-20+,113-06
5/28/2025,110-07,112-11
5/27/2025,110-16+,112-29
5/23/2025,110-02+,111-21
5/22/2025,109-26+,111-06
5/21/2025,109-16,110-25
5/20/2025,110-06+,112-18
5/19/2025,110-04+,112-25
5/16/2025,110-10+,113-12
5/15/2025,110-08,113-02
5/14/2025,109-23,112-12
5/13/2025,109-31,112-22
5/12/2025,110-05,113-16
5/9/2025,110-26,114-11
5/8/2025,110-25+,114-13
5/7/2025,111-17+,115-12
5/6/2025,111-10,114-24
5/5/2025,111-02,114-16
5/2/2025,111-05,114-29
5/1/2025,111-27+,115-28
4/30/2025,112-07,116-20
4/29/2025,112-05,117-02
4/28/2025,111-29,116-12
4/25/2025,111-16+,115-26
4/24/2025,111-07,115-06
4/23/2025,110-21,114-05
4/22/2025,110-25+,113-19
4/21/2025,110-26,113-01
4/18/2025,,
4/17/2025,111-05+,114-18
4/16/2025,111-13+,115-09
4/15/2025,111-02+,114-27
4/14/2025,110-24,114-16
4/11/2025,109-23+,113-06
4/10/2025,110-19,113-28
4/9/2025,110-10+,114-17
4/8/2025,111-15,115-24
4/7/2025,112-02,117-20
4/4/2025,113-01+,120-19
4/3/2025,112-20+,119-13
4/2/2025,111-16,118
4/1/2025,111-25,118-19
3/31/2025,111-07,117-09
3/28/2025,111-06+,117-03
3/27/2025,110-13+,115-21
3/26/2025,110-18,116-05
3/25/2025,110-24,116-19
3/24/2025,110-17+,116-13
3/21/2025,111-03,117-12
3/20/2025,111-05,118-05
3/19/2025,110-31+,117-25
3/18/2025,110-25,117-17
3/17/2025,110-19,117-08
3/14/2025,110-20,117-01
3/13/2025,110-29,117-14
3/12/2025,110-20,116-26
3/11/2025,110-26,117-06
3/10/2025,111-09,118-05
3/7/2025,110-17+,116-29
3/6/2025,110-25,117-11
3/5/2025,110-27,117-24
3/4/2025,111-07,118-14
3/3/2025,111-12,119-01
2/28/2025,111-02,118-10
2/27/2025,110-19+,117-23
2/26/2025,110-27,118-09
2/25/2025,110-16+,117-21
2/24/2025,109-28,116-11
2/21/2025,109-22,116-03
2/20/2025,109-05+,115-01
2/19/2025,108-30+,114-20
2/18/2025,108-27,114-21
2/14/2025,109-10,115-17
2/13/2025,108-31,115
2/12/2025,108-08+,113-13
2/11/2025,108-30+,114-25
2/10/2025,109-07,115-13
2/7/2025,109-07+,115-17
2/6/2025,109-18+,116-03
2/5/2025,109-24,116-05
2/4/2025,109-06+,114-24
2/3/2025,108-30+,114-12
1/31/2025,108-27,113-29
1/30/2025,109-07+,114-21
1/29/2025,108-30+,114-03
1/28/2025,109-01,114-03
1/27/2025,109-05,114-12
1/24/2025,108-15,113-06
1/23/2025,108-12,112-28
1/22/2025,108-18,113-14
1/21/2025,108-23+,113-21
1/17/2025,108-17+,113-03
1/16/2025,108-19+,113
1/15/2025,108-10+,112-17
1/14/2025,107-11+,110-29
1/13/2025,107-07+,110-27
1/10/2025,107-12+,111-07
1/9/2025,108-07,112-04
1/8/2025,108-04+,111-31
1/7/2025,108-05+,112-05
1/6/2025,108-17,113-04
1/3/2025,108-20+,113-17
1/2/2025,108-26,113-24
12/31/2024,108-24,113-27
12/30/2024,108-31,114-03
12/27/2024,108-14,113-09
12/26/2024,108-21,113-30
12/24/2024,108-18,113-28
12/23/2024,108-15,113-18
12/20/2024,108-31,114-16
12/19/2024,108-22+,113-24
12/18/2024,109-02,115-01
12/17/2024,109-28+,116-11
12/16/2024,109-26,116-04
12/13/2024,109-26+,116-05
12/12/2024,110-10,117-05
12/11/2024,110-19+,118
12/10/2024,110-28,118-27
12/9/2024,111-02,119-05
12/6/2024,111-10+,119-30
12/5/2024,111-02,119-21
12/4/2024,111-03+,119-18
12/3/2024,110-26,118-31
12/2/2024,110-30+,119-14
11/29/2024,111-00+,119-09
11/27/2024,110-23+,118-20
11/26/2024,110-10+,117-28
11/25/2024,110-17,118-09
11/22/2024,109-20+,116-09
11/21/2024,109-16,116-04
11/20/2024,109-22,116-18
11/19/2024,109-27,116-29
11/18/2024,109-20,116-10
11/15/2024,109-17,116-10
11/14/2024,109-17+,116-18
11/13/2024,109-13+,115-27
11/12/2024,109-13+,116-10
11/11/2024,109-29,117-21
11/8/2024,110-09,117-27
11/7/2024,110-06,117-03
11/6/2024,109-17+,116-08
11/5/2024,110-13,118-05
11/4/2024,110-11+,117-22
11/1/2024,110-01,116-26
10/31/2024,110-15,117-31
10/30/2024,110-22+,118-02
10/29/2024,110-24,117-22
10/28/2024,110-22+,117-21
10/25/2024,111-02,118-09
10/24/2024,111-09,118-24
10/23/2024,111-01,118-01
10/22/2024,111-11,118-15
10/21/2024,111-16+,118-22
10/18/2024,112-07,120-08
10/17/2024,112-01+,120
10/16/2024,112-17,121-11
10/15/2024,112-14,121-02
10/14/2024,111-27+,119-25
10/11/2024,112-08,120-12
10/10/2024,112-02+,120-06
10/9/2024,112-06+,120-25
10/8/2024,112-15,121-04
10/7/2024,112-15+,121-10
10/4/2024,112-27,121-31
10/3/2024,113-29,123-14
10/2/2024,114-13+,124-09
10/1/2024,114-22,125
9/30/2024,114-09,124-06
9/27/2024,114-23+,124-28
9/26/2024,114-13,124-11
9/25/2024,114-17+,124-09
9/24/2024,114-27,125-01
9/23/2024,114-24+,125-04
9/20/2024,114-27,125-08
9/19/2024,114-10+,125
9/18/2024,114-20+,125-31
9/17/2024,114-29+,126-27
9/16/2024,115-02+,127-01
9/13/2024,114-29+,126-19
9/12/2024,114-22,126-06
9/11/2024,114-25,126-20
9/10/2024,114-29+,126-23
9/9/2024,114-16+,126-02
9/6/2024,114-16+,125-25
9/5/2024,114-07+,125-17
9/4/2024,114-01,125-01
9/3/2024,113-15+,124-01
8/30/2024,113-01+,122-31
8/29/2024,113-10,123-19
8/28/2024,113-17,123-31
8/27/2024,113-16+,124-05
8/26/2024,113-19,124-17
8/23/2024,113-22+,124-19
8/22/2024,113-09+,124-01
8/21/2024,113-28+,125-12
8/20/2024,113-18,124-28
8/19/2024,113-07,124-06
8/16/2024,113-03+,123-22
8/15/2024,112-30+,123-09
8/14/2024,113-24+,124-19
8/13/2024,113-20,124
8/12/2024,113-07+,123-10
8/9/2024,112-30+,122-29
8/8/2024,112-21,122
8/7/2024,112-28+,122-14
8/6/2024,113-12+,123-22
8/5/2024,114-02+,125-13
8/2/2024,114-04+,125-02
8/1/2024,112-23+,122-17
7/31/2024,111-26,120-25
7/30/2024,111-18,120-06
7/29/2024,111-11,119-21
7/26/2024,111-06+,119-11
7/25/2024,110-25+,118-20
7/24/2024,110-21+,118-01
7/23/2024,110-28,119-01
7/22/2024,110-23,118-25
7/19/2024,110-26+,119-04
7/18/2024,111-07,119-26
7/17/2024,111-14,120-17
7/16/2024,111-10+,120-09
7/15/2024,110-31+,119-06
7/12/2024,111-06,119-30
7/11/2024,111-05,119-27
7/10/2024,110-16,118-24
7/9/2024,110-13,118-14
7/8/2024,110-19,119
7/5/2024,110-19+,118-26
7/3/2024,110-01+,118
7/2/2024,109-15,116-21
7/1/2024,109-05+,116-03
6/28/2024,109-31+,118-10
6/27/2024,110-08,119-10
6/26/2024,110-02,118-30
6/25/2024,110-19,120-05
6/24/2024,110-17,120
6/21/2024,110-16,119-25
6/20/2024,110-17+,119-26
6/18/2024,110-15+,120-02
6/17/2024,110-02,119-15
6/14/2024,110-15,120-09
6/13/2024,110-13+,119-22
6/12/2024,110-01,119
6/11/2024,109-09,117-19
6/10/2024,108-26+,116-25
6/7/2024,109-01+,117-13
6/6/2024,110-02,119-08
6/5/2024,109-31+,119-02
6/4/2024,109-22+,118-13
6/3/2024,109-08,117-15
5/31/2024,108-15+,115-30
5/30/2024,108-07+,115-14
5/29/2024,107-24+,114-18
5/28/2024,108-09+,115-25
5/24/2024,108-22+,116-26
5/23/2024,108-23,116-26
5/22/2024,109-01,117-09
5/21/2024,109-07+,117-11
5/20/2024,109-03,117-02
5/17/2024,109-06,117-10
5/16/2024,109-15+,117-29
5/15/2024,109-23,118-02
5/14/2024,109-03,116-25
5/13/2024,108-26+,116-12
5/10/2024,108-22+,116-02
5/9/2024,109-03,116-24
5/8/2024,108-26+,116-11
5/7/2024,109-00+,116-22
5/6/2024,108-28+,116-07
5/3/2024,108-27+,115-30
5/2/2024,108-11+,115-04
5/1/2024,108-03+,115-01
4/30/2024,107-14,113-26
4/29/2024,107-30+,114-19
4/26/2024,107-18+,113-27
4/25/2024,107-11+,113-10
4/24/2024,107-23+,113-29
4/23/2024,108-02+,114-23
4/22/2024,107-27+,114-17
4/19/2024,107-29,114-20
4/18/2024,107-22+,114-04
4/17/2024,108-05,114-27
4/16/2024,107-21+,113-31
4/15/2024,107-28+,114-09
4/12/2024,108-22,116-07
4/11/2024,108-03+,115-08
4/10/2024,108-06+,115-18
4/9/2024,109-20+,117-31
4/8/2024,109-08+,117-04
4/5/2024,109-21,117-17
4/4/2024,110-04,118-13
4/3/2024,109-25+,117-25
4/2/2024,109-23,117-23
4/1/2024,109-29+,118-16
3/29/2024,,
3/28/2024,110-25+,120-14
3/27/2024,110-28,120-06
3/26/2024,110-20+,119-20
3/25/2024,110-16+,119-10
3/22/2024,110-24,119-25
3/21/2024,110-12+,119
3/20/2024,110-14,118-26
3/19/2024,109-21+,118-24
3/18/2024,109-11+,118-07
3/15/2024,109-19+,118-24
3/14/2024,109-23+,118-23
3/13/2024,110-13,120-08
3/12/2024,110-19+,120-24
3/11/2024,111-00+,121-13
3/8/2024,111-04+,121-16
3/7/2024,111-02+,121-23
3/6/2024,110-29+,121-19
3/5/2024,110-24,120-27
3/4/2024,110-07,119-19
3/1/2024,110-16,120-01
2/29/2024,109-29+,119-08
2/28/2024,109-26,118-24
2/27/2024,109-17,118-10
2/26/2024,109-19+,118-19
2/23/2024,109-28,119-02
2/22/2024,109-16,118-02
2/21/2024,109-20,117-23
2/20/2024,109-30,118-10
2/16/2024,109-24,118-07
2/15/2024,110-05+,118-28
2/14/2024,110-00+,118-17
2/13/2024,109-20,117-31
2/12/2024,110-23,119-27
2/9/2024,110-18+,119-20
2/8/2024,110-24,119-22
2/7/2024,111-06,120-27
2/6/2024,111-09,121
2/5/2024,110-25,120-04
2/2/2024,111-21,121-29
2/1/2024,112-28+,124-01
1/31/2024,112-10+,122-11
1/30/2024,111-20,121-08
1/29/2024,111-16+,120-17
1/26/2024,111-01,119-18
1/25/2024,111-10,119-26
1/24/2024,110-31,119-07
1/23/2024,111-07,119-26
1/22/2024,111-16,120-23
1/19/2024,111-04,120
1/18/2024,111-06+,119-29
1/17/2024,111-13+,120-25
1/16/2024,111-27,121-02
1/12/2024,112-19,122-28
1/11/2024,112-11,122-23
1/10/2024,111-28,122-05
1/9/2024,111-29,122-13
1/8/2024,112-01+,122-17
1/5/2024,111-23,122-01
1/4/2024,111-31+,122-27
1/3/2024,112-16+,124-04
1/2/2024,112-09+,123-26
12/29/2023,112-28+,124-30
12/28/2023,112-28+,125-04
12/27/2023,113-10+,125-28
12/26/2023,112-23,124-08
12/22/2023,112-19,123-25
12/21/2023,112-21+,123-31
12/20/2023,112-25,124-12
12/19/2023,112-06,123-23
12/18/2023,111-30+,123-08
12/15/2023,112-03+,123-27
12/14/2023,112-07+,123-11
12/13/2023,111-19+,121-20
12/12/2023,110-08,119-16
12/11/2023,110-01,119-01
12/8/2023,109-31,119-01
12/7/2023,110-27,120-09
12/6/2023,110-26,120-18
12/5/2023,110-20,119-14
12/4/2023,109-28+,117-18
12/1/2023,110-11,118-05
11/30/2023,109-15,116-14
11/29/2023,109-30,117-13
11/28/2023,109-17,116-12
11/27/2023,109,116-01
11/24/2023,108-12+,114-27
11/22/2023,108-26,115-28
11/21/2023,108-30,115-20
11/20/2023,108-27,115-26
11/17/2023,108-24,115-13
11/16/2023,108-27+,115-10
11/15/2023,108-07,114-08
11/14/2023,108-29,115-14
11/13/2023,107-14,113-09
11/10/2023,107-13+,113-12
11/9/2023,107-17,112-31
11/8/2023,108-10+,114-26
11/7/2023,108-04,113-31
11/6/2023,107-19,112-15
11/3/2023,108-11+,113-21
11/2/2023,107-15+,112-16
11/1/2023,106-27+,110-14
10/31/2023,106-05+,109-14
10/30/2023,106-07,109-09
10/27/2023,106-13+,109-16
10/26/2023,106-11,109-28
10/25/2023,105-21+,108-13
10/24/2023,106-11+,110
10/23/2023,106-15+,109-31
10/20/2023,106,108-15
10/19/2023,105-13+,107-27
10/18/2023,105-28,109-09
10/17/2023,106-07,110
10/16/2023,107-06+,111-11
10/13/2023,107-23,112-25
10/12/2023,107-07+,111-15
10/11/2023,107-30,113-12
10/10/2023,107-23,112-02
10/9/2023,107-27,112-01
10/6/2023,106-27,110-15
10/5/2023,107-10,111-13
10/4/2023,107-03+,111-16
10/3/2023,106-20+,110-21
10/2/2023,107-10+,112-12
9/29/2023,108-02,113-25
9/28/2023,107-27+,113-16
9/27/2023,107-18+,113-16
9/26/2023,108-03+,114-12
9/25/2023,108-05+,114-27
9/22/2023,108-22,116-29
9/21/2023,108-13+,116-09
9/20/2023,109-06,119-07
9/19/2023,108-26+,118-12
9/18/2023,109-06+,118-28
9/15/2023,109-05+,118-19
9/14/2023,109-11+,119-01
9/13/2023,109-20+,119-20
9/12/2023,109-16+,119-12
9/11/2023,109-13,119-01
9/8/2023,109-17,119-16
9/7/2023,109-19+,119-09
9/6/2023,109-09,119-04
9/5/2023,109-17+,119-01
9/1/2023,110-05,120-08
8/31/2023,110-18,121-18
8/30/2023,110-11+,121-04
8/29/2023,110-10+,121-03
8/28/2023,109-20+,119-30
8/25/2023,109-14,119-24
8/24/2023,109-19,119-27
8/23/2023,109-29,120-07
8/22/2023,109-02,118-11
8/21/2023,109-02+,117-28
8/18/2023,109-20+,119-07
8/17/2023,109-09,118-21
8/16/2023,109-18,119-12
8/15/2023,109-24+,120-03
8/14/2023,110,120-22
8/11/2023,110-06,120-24
8/10/2023,110-27+,121-22
8/9/2023,111-12+,122-24
8/8/2023,111-13,122-14
8/7/2023,111-04,121-18
8/4/2023,111-04+,122
8/3/2023,110-07+,120-11
8/2/2023,110-25+,122-09
8/1/2023,110-28,122-31
7/31/2023,111-13,124-14
7/28/2023,111-11,124-08
7/27/2023,111-00+,123-28
7/26/2023,112-04+,126-06
7/25/2023,111-19+,125-17
7/24/2023,112-02,126-05
7/21/2023,112-07+,126-12
7/20/2023,112-04+,126-06
7/19/2023,113,127-22
7/18/2023,112-24,126-25
7/17/2023,112-23,126-18
7/14/2023,112-18,126-14
7/13/2023,113-01+,127
7/12/2023,112-08+,125-25
7/11/2023,111-08+,124-12
7/10/2023,111-04+,124-02
7/7/2023,110-21+,123-24
7/6/2023,110-19+,124-01
7/5/2023,111-11+,125-08
7/3/2023,111-30,126-20
6/30/2023,112-08+,126-29
6/29/2023,112-04,126-05
6/28/2023,113-08,128-08
6/27/2023,112-26+,127-18
6/26/2023,113-07+,128-03
6/23/2023,113-02+,127-29
6/22/2023,112-23+,127
6/21/2023,112-15,127-26
6/20/2023,112-21+,128-08
6/16/2023,112-13,127-11
6/15/2023,112-26+,127-24
6/14/2023,112-06+,126-30
6/13/2023,112-00+,126-02
6/12/2023,112-22+,126-31
6/9/2023,112-21,127-11
6/8/2023,113-01,127-15
6/7/2023,112-17,126-10
6/6/2023,113-01,127-23
6/5/2023,113-03+,127-22
6/2/2023,113-01+,127-22
6/1/2023,113-29+,128-19
5/31/2023,113-20,128-02
5/30/2023,113-05+,127-06
5/26/2023,112-13,125-20
5/25/2023,112-20,125-17
5/24/2023,113-13+,126-18
5/23/2023,113-19+,126-30
5/22/2023,113-15,126-25
5/19/2023,113-18,127-05
5/18/2023,113-29+,127-29
5/17/2023,114-18+,128-25
5/16/2023,114-29+,129-04
5/15/2023,115-07+,129-25
5/12/2023,115-14,130-23
5/11/2023,116-01+,131-17
5/10/2023,115-29,130-22
5/9/2023,115-06,129-22
5/8/2023,115-05+,129-28
5/5/2023,115-23,130-31
5/4/2023,116-18,132-04
5/3/2023,115-29,131-28
5/2/2023,115-18,131-14
5/1/2023,114-16,129-21
4/28/2023,115-06+,131-21
4/27/2023,114-23+,130-13
4/26/2023,115-17+,131-23
4/25/2023,115-25+,132-12
4/24/2023,114-28,130-24
4/21/2023,114-15,129-29
4/20/2023,114-21,130-10
4/19/2023,114-06,129-23
4/18/2023,114-15+,130-01
4/17/2023,114-11+,129-24
4/14/2023,114-27+,130-23
4/13/2023,115-14+,131-26
4/12/2023,115-22+,132-05
4/11/2023,115-12,132-12
4/10/2023,115-16+,132-18
4/7/2023,115-25+,133-03
4/6/2023,116-17+,134-03
4/5/2023,116-18+,134-02
4/4/2023,116-08,133-04
4/3/2023,115-14+,131-30
3/31/2023,114-29+,131-05
3/30/2023,114-18+,130-05
3/29/2023,114-17,129-26
3/28/2023,114-20+,129-30
3/27/2023,114-31+,130-11
3/24/2023,116-03+,132-11
3/23/2023,115-31+,131-25
3/22/2023,113-23,129-01
3/21/2023,113-20+,128-23
3/20/2023,114-19,130
3/17/2023,115-04,131-09
3/16/2023,113-21,129-05
3/15/2023,114-17,130-07
3/14/2023,113-11,128-19
3/13/2023,114-04+,130-04
3/10/2023,112-20,128-01
3/9/2023,111-00+,124-23
3/8/2023,110-14+,124-06
3/7/2023,110-16+,124
3/6/2023,110-18,123-19
3/3/2023,110-21,123-27
3/2/2023,110-03,122-07
3/1/2023,110-18,123-06
2/28/2023,111-05+,124-04
2/27/2023,111-04+,124-07
2/24/2023,110-29+,123-28
2/23/2023,111-14,125-03
2/22/2023,111-06+,124-18
2/21/2023,111-02,124-03
2/17/2023,112,125-25
2/16/2023,111-28+,125-18
2/15/2023,112-01+,126-07
2/14/2023,112-10+,126-31
2/13/2023,112-25,127-12
2/10/2023,112-22,126-30
2/9/2023,113-01,127-28
2/8/2023,113-13,128-11
2/7/2023,113-07+,128-13
2/6/2023,113-16,129
2/3/2023,114-13+,130-02
2/2/2023,115-17+,131-25
2/1/2023,115-15+,131-21
1/31/2023,114-16+,129-28
1/30/2023,114-09,129-25
1/27/2023,114-19+,130-05
1/26/2023,114-27+,130-13
1/25/2023,115-04+,130-26
1/24/2023,115-01,130-27
1/23/2023,114-22,129-27
1/20/2023,115-02,130-15
1/19/2023,115-20+,131-24
1/18/2023,115-29,132-02
1/17/2023,114-21+,129-23
1/13/2023,114-24+,130
1/12/2023,115-07+,130-21
1/11/2023,114-14,129-03
1/10/2023,114,128-07
1/9/2023,114-20,129-29
1/6/2023,114-07,129-07
1/5/2023,113-00+,127-17
1/4/2023,113-06,127-16
1/3/2023,112-20+,126-07
12/30/2022,112-09+,125-11
12/29/2022,112-14,125-16
12/28/2022,112-06,124-29
12/27/2022,112-10+,125-10
12/23/2022,113-02+,127-05
12/22/2022,113-17+,128-14
12/21/2022,113-18,128-05
12/20/2022,113-14+,128-08
12/19/2022,114-01+,129-27
12/16/2022,114-21+,131-07
12/15/2022,114-22+,132-04
12/14/2022,114-14+,131-05
12/13/2022,114-17,131-08
12/12/2022,113-19,129-23
12/9/2022,113-26+,129-30
12/8/2022,114-06,131-01
12/7/2022,114-27+,131-31
12/6/2022,114-03,130-15
12/5/2022,113-19,128-28
12/2/2022,114-11+,129-27
12/1/2022,114-09+,129-18
11/30/2022,113-07,127-01
11/29/2022,112-23,126-23
