Date,ES1 Index  (L1),VG1 Index  (R1),NK1 COMB Index  (R2)
10/20/2025,,,48190
10/17/2025,6684.5,5646,47550
10/16/2025,6668.75,5659,48430
10/15/2025,6715,5626,47810
10/14/2025,6686.5,5562,46790
10/13/2025,6694.75,5574,
10/10/2025,6595.25,5544,47620
10/9/2025,6779.25,5643,48800
10/8/2025,6801.25,5669,47760
10/7/2025,6761.5,5627,47940
10/6/2025,6788.75,5645,48190
10/3/2025,6764,5666,45940
10/2/2025,6766.75,5668,45070
10/1/2025,6761.5,5605,44540
9/30/2025,6738.75,5541,44990
9/29/2025,6713.5,5530,45130
9/26/2025,6696.5,5510,45050
9/25/2025,6659.75,5446,45460
9/24/2025,6692.25,5481,45420
9/23/2025,6715,5491,
9/22/2025,6752.5,5454,45320
9/19/2025,6658.77,5461.94,44730
9/18/2025,6635,5457,45220
9/17/2025,6601.25,5367,44610
9/16/2025,6610.75,5372,44640
9/15/2025,6621.5,5440,
9/12/2025,6588.25,5388,44480
9/11/2025,6592.5,5386,44440
9/10/2025,6539.75,5361,43870
9/9/2025,6521.75,5376,43560
9/8/2025,6506,5372,43660
9/5/2025,6489.75,5319,43070
9/4/2025,6510.75,5357,42630
9/3/2025,6457.25,5334,42010
9/2/2025,6425.5,5299,42350
9/1/2025,,5372,42250
8/29/2025,6472.75,5362,42690
8/28/2025,6517.5,5405,42930
8/27/2025,6496,5402,42500
8/26/2025,6482.5,5396,42300
8/25/2025,6455.5,5450,42770
8/22/2025,6483.25,5503,42570
8/21/2025,6388.25,5471,42610
8/20/2025,6413.25,5484,42920
8/19/2025,6432.5,5498,43560
8/18/2025,6469.25,5443,43720
8/15/2025,6471.5,5469,43470
8/14/2025,6490.5,5443,42620
8/13/2025,6488.75,5405,43370
8/12/2025,6468.5,5355,42640
8/11/2025,6399.75,5345,
8/8/2025,6413.5,5369,41820
8/7/2025,6366.5,5347,41000
8/6/2025,6371,5277,40810
8/5/2025,6325.25,5266,40650
8/4/2025,6356,5256,40320
8/1/2025,6264.5,5187,40860
7/31/2025,6374.25,5340,41200
7/30/2025,6396.25,5413,40660
7/29/2025,6406,5391,40810
7/28/2025,6422.75,5350,40910
7/25/2025,6425,5374,41360
7/24/2025,6401.5,5376,41870
7/23/2025,6396.25,5363,41220
7/22/2025,6346.75,5303,39750
7/21/2025,6344.75,5358,
7/18/2025,6334.75,5373,39830
7/17/2025,6340.5,5393,39930
7/16/2025,6303.25,5330,39590
7/15/2025,6284,5372,39660
7/14/2025,6311,5386,39410
7/11/2025,6300,5394,39510
7/10/2025,6324.25,5458,39640
7/9/2025,6307.25,5462,39800
7/8/2025,6272,5384,39820
7/7/2025,6276,5357,39540
7/4/2025,,5307,39770
7/3/2025,6324.25,5354,39720
7/2/2025,6275,5334,39790
7/1/2025,6248.75,5304,39890
6/30/2025,6253.75,5327,40510
6/27/2025,6223.75,5338,40180
6/26/2025,6195,5261,39500
6/25/2025,6147,5273,38930
6/24/2025,6146.25,5318,38810
6/23/2025,6077,5241,38400
6/20/2025,6010.21,5249.52,38350
6/19/2025,,5199,38510
6/18/2025,5981.5,5268,38850
6/17/2025,5985,5288,38510
6/16/2025,6035.75,5335,38360
6/13/2025,5979.25,5286,37780
6/12/2025,6049.5,5361,38180
6/11/2025,6029,5398,38440
6/10/2025,6045,5424,38230
6/9/2025,6010.25,5423,38110
6/6/2025,6006.75,5427,37770
6/5/2025,5946,5412,37520
